timestamp,candidate,price,volume,market_slug,market_id,event_slug,event_id,token_id,source
2026-06-14 13:00:08+00:00,Gilad Erdan,0.0125,110884.61995499999,will-gilad-erdan-be-the-next-prime-minister-of-israel,682722,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,73391412196952346536768049629984781694862224381955045702486880678656173160147,polymarket_clob_prices_history
2026-06-14 13:00:08+00:00,Itamar Ben Gvir,0.0095,1170439.3545540024,will-itamar-ben-gvir-be-the-next-prime-minister-of-israel,682713,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,97037271592384590668192904767730391938961253014413658633971882704234126806284,polymarket_clob_prices_history
2026-06-14 13:00:08+00:00,Moshe Feiglin,0.0025,760611.0514440015,will-moshe-feiglin-be-the-next-prime-minister-of-israel,682716,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,53508697093100828360254088937709702626357043454735600798387762815121144942132,polymarket_clob_prices_history
2026-06-14 13:00:08+00:00,Naftali Bennett,0.235,2163018.086249994,will-naftali-bennett-be-the-next-prime-minister-of-israel,682706,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,58945936829392654397399777214757608864525173988558750256164021442231118224154,polymarket_clob_prices_history
2026-06-14 13:00:08+00:00,Yoaz Hendel,0.0025,1189848.5748680201,will-yoaz-hendel-be-the-next-prime-minister-of-israel,682718,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,12118827801400239712815717295403167152230979784826228363180815353568423454582,polymarket_clob_prices_history
2026-06-14 13:00:09+00:00,Avigdor Lieberman,0.0325,1831777.620512998,will-avigdor-lieberman-be-the-next-prime-minister-of-israel,682710,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,105057524965982907913786325697426001538810836564004836999292309706852745390829,polymarket_clob_prices_history
2026-06-14 13:00:09+00:00,Benjamin Netanyahu,0.335,1906488.2452500034,will-benjamin-netanyahu-be-the-next-prime-minister-of-israel,682705,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,20006732765674855733524007935991362439352594042415161039767275461950712817548,polymarket_clob_prices_history
2026-06-14 13:00:09+00:00,Yair Lapid,0.0045,839066.255415001,will-yair-lapid-be-the-next-prime-minister-of-israel,682707,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,30912854850866302644106316438153629460678506137655559406260043509960678109607,polymarket_clob_prices_history
2026-06-14 13:00:09+00:00,Yariv Levin,0.0055,659785.4650809984,will-yariv-levin-be-the-next-prime-minister-of-israel,682715,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,28155793585619215559447305702051573036104753242134264350727089371549716604590,polymarket_clob_prices_history
2026-06-14 14:00:07+00:00,Amir Ohana,0.0035,1069203.8027669978,will-amir-ohana-be-the-next-prime-minister-of-israel,682721,who-will-be-the-next-prime-minister-of-israel-after-the-next-election,81557,37479008447091488432468168948590430208783407360102685992956858050228448972626,polymarket_clob_prices_history
